All Variables in Datasets
=============================

V1	Variable Name
1	tBodyAcc-mean()-X
2	tBodyAcc-mean()-Y
3	tBodyAcc-mean()-Z
4	tBodyAcc-std()-X
5	tBodyAcc-std()-Y
6	tBodyAcc-std()-Z
7	tBodyAcc-mad()-X
8	tBodyAcc-mad()-Y
9	tBodyAcc-mad()-Z
10	tBodyAcc-max()-X
11	tBodyAcc-max()-Y
12	tBodyAcc-max()-Z
13	tBodyAcc-min()-X
14	tBodyAcc-min()-Y
15	tBodyAcc-min()-Z
16	tBodyAcc-sma()
17	tBodyAcc-energy()-X
18	tBodyAcc-energy()-Y
19	tBodyAcc-energy()-Z
20	tBodyAcc-iqr()-X
21	tBodyAcc-iqr()-Y
22	tBodyAcc-iqr()-Z
23	tBodyAcc-entropy()-X
24	tBodyAcc-entropy()-Y
25	tBodyAcc-entropy()-Z
26	tBodyAcc-arCoeff()-X1
27	tBodyAcc-arCoeff()-X2
28	tBodyAcc-arCoeff()-X3
29	tBodyAcc-arCoeff()-X4
30	tBodyAcc-arCoeff()-Y1
31	tBodyAcc-arCoeff()-Y2
32	tBodyAcc-arCoeff()-Y3
33	tBodyAcc-arCoeff()-Y4
34	tBodyAcc-arCoeff()-Z1
35	tBodyAcc-arCoeff()-Z2
36	tBodyAcc-arCoeff()-Z3
37	tBodyAcc-arCoeff()-Z4
38	tBodyAcc-correlation()-XY
39	tBodyAcc-correlation()-XZ
40	tBodyAcc-correlation()-YZ
41	tGravityAcc-mean()-X
42	tGravityAcc-mean()-Y
43	tGravityAcc-mean()-Z
44	tGravityAcc-std()-X
45	tGravityAcc-std()-Y
46	tGravityAcc-std()-Z
47	tGravityAcc-mad()-X
48	tGravityAcc-mad()-Y
49	tGravityAcc-mad()-Z
50	tGravityAcc-max()-X
51	tGravityAcc-max()-Y
52	tGravityAcc-max()-Z
53	tGravityAcc-min()-X
54	tGravityAcc-min()-Y
55	tGravityAcc-min()-Z
56	tGravityAcc-sma()
57	tGravityAcc-energy()-X
58	tGravityAcc-energy()-Y
59	tGravityAcc-energy()-Z
60	tGravityAcc-iqr()-X
61	tGravityAcc-iqr()-Y
62	tGravityAcc-iqr()-Z
63	tGravityAcc-entropy()-X
64	tGravityAcc-entropy()-Y
65	tGravityAcc-entropy()-Z
66	tGravityAcc-arCoeff()-X1
67	tGravityAcc-arCoeff()-X2
68	tGravityAcc-arCoeff()-X3
69	tGravityAcc-arCoeff()-X4
70	tGravityAcc-arCoeff()-Y1
71	tGravityAcc-arCoeff()-Y2
72	tGravityAcc-arCoeff()-Y3
73	tGravityAcc-arCoeff()-Y4
74	tGravityAcc-arCoeff()-Z1
75	tGravityAcc-arCoeff()-Z2
76	tGravityAcc-arCoeff()-Z3
77	tGravityAcc-arCoeff()-Z4
78	tGravityAcc-correlation()-XY
79	tGravityAcc-correlation()-XZ
80	tGravityAcc-correlation()-YZ
81	tBodyAccJerk-mean()-X
82	tBodyAccJerk-mean()-Y
83	tBodyAccJerk-mean()-Z
84	tBodyAccJerk-std()-X
85	tBodyAccJerk-std()-Y
86	tBodyAccJerk-std()-Z
87	tBodyAccJerk-mad()-X
88	tBodyAccJerk-mad()-Y
89	tBodyAccJerk-mad()-Z
90	tBodyAccJerk-max()-X
91	tBodyAccJerk-max()-Y
92	tBodyAccJerk-max()-Z
93	tBodyAccJerk-min()-X
94	tBodyAccJerk-min()-Y
95	tBodyAccJerk-min()-Z
96	tBodyAccJerk-sma()
97	tBodyAccJerk-energy()-X
98	tBodyAccJerk-energy()-Y
99	tBodyAccJerk-energy()-Z
100	tBodyAccJerk-iqr()-X
101	tBodyAccJerk-iqr()-Y
102	tBodyAccJerk-iqr()-Z
103	tBodyAccJerk-entropy()-X
104	tBodyAccJerk-entropy()-Y
105	tBodyAccJerk-entropy()-Z
106	tBodyAccJerk-arCoeff()-X1
107	tBodyAccJerk-arCoeff()-X2
108	tBodyAccJerk-arCoeff()-X3
109	tBodyAccJerk-arCoeff()-X4
110	tBodyAccJerk-arCoeff()-Y1
111	tBodyAccJerk-arCoeff()-Y2
112	tBodyAccJerk-arCoeff()-Y3
113	tBodyAccJerk-arCoeff()-Y4
114	tBodyAccJerk-arCoeff()-Z1
115	tBodyAccJerk-arCoeff()-Z2
116	tBodyAccJerk-arCoeff()-Z3
117	tBodyAccJerk-arCoeff()-Z4
118	tBodyAccJerk-correlation()-XY
119	tBodyAccJerk-correlation()-XZ
120	tBodyAccJerk-correlation()-YZ
121	tBodyGyro-mean()-X
122	tBodyGyro-mean()-Y
123	tBodyGyro-mean()-Z
124	tBodyGyro-std()-X
125	tBodyGyro-std()-Y
126	tBodyGyro-std()-Z
127	tBodyGyro-mad()-X
128	tBodyGyro-mad()-Y
129	tBodyGyro-mad()-Z
130	tBodyGyro-max()-X
131	tBodyGyro-max()-Y
132	tBodyGyro-max()-Z
133	tBodyGyro-min()-X
134	tBodyGyro-min()-Y
135	tBodyGyro-min()-Z
136	tBodyGyro-sma()
137	tBodyGyro-energy()-X
138	tBodyGyro-energy()-Y
139	tBodyGyro-energy()-Z
140	tBodyGyro-iqr()-X
141	tBodyGyro-iqr()-Y
142	tBodyGyro-iqr()-Z
143	tBodyGyro-entropy()-X
144	tBodyGyro-entropy()-Y
145	tBodyGyro-entropy()-Z
146	tBodyGyro-arCoeff()-X1
147	tBodyGyro-arCoeff()-X2
148	tBodyGyro-arCoeff()-X3
149	tBodyGyro-arCoeff()-X4
150	tBodyGyro-arCoeff()-Y1
151	tBodyGyro-arCoeff()-Y2
152	tBodyGyro-arCoeff()-Y3
153	tBodyGyro-arCoeff()-Y4
154	tBodyGyro-arCoeff()-Z1
155	tBodyGyro-arCoeff()-Z2
156	tBodyGyro-arCoeff()-Z3
157	tBodyGyro-arCoeff()-Z4
158	tBodyGyro-correlation()-XY
159	tBodyGyro-correlation()-XZ
160	tBodyGyro-correlation()-YZ
161	tBodyGyroJerk-mean()-X
162	tBodyGyroJerk-mean()-Y
163	tBodyGyroJerk-mean()-Z
164	tBodyGyroJerk-std()-X
165	tBodyGyroJerk-std()-Y
166	tBodyGyroJerk-std()-Z
167	tBodyGyroJerk-mad()-X
168	tBodyGyroJerk-mad()-Y
169	tBodyGyroJerk-mad()-Z
170	tBodyGyroJerk-max()-X
171	tBodyGyroJerk-max()-Y
172	tBodyGyroJerk-max()-Z
173	tBodyGyroJerk-min()-X
174	tBodyGyroJerk-min()-Y
175	tBodyGyroJerk-min()-Z
176	tBodyGyroJerk-sma()
177	tBodyGyroJerk-energy()-X
178	tBodyGyroJerk-energy()-Y
179	tBodyGyroJerk-energy()-Z
180	tBodyGyroJerk-iqr()-X
181	tBodyGyroJerk-iqr()-Y
182	tBodyGyroJerk-iqr()-Z
183	tBodyGyroJerk-entropy()-X
184	tBodyGyroJerk-entropy()-Y
185	tBodyGyroJerk-entropy()-Z
186	tBodyGyroJerk-arCoeff()-X1
187	tBodyGyroJerk-arCoeff()-X2
188	tBodyGyroJerk-arCoeff()-X3
189	tBodyGyroJerk-arCoeff()-X4
190	tBodyGyroJerk-arCoeff()-Y1
191	tBodyGyroJerk-arCoeff()-Y2
192	tBodyGyroJerk-arCoeff()-Y3
193	tBodyGyroJerk-arCoeff()-Y4
194	tBodyGyroJerk-arCoeff()-Z1
195	tBodyGyroJerk-arCoeff()-Z2
196	tBodyGyroJerk-arCoeff()-Z3
197	tBodyGyroJerk-arCoeff()-Z4
198	tBodyGyroJerk-correlation()-XY
